,marcas,cantidad de fotos
0,Iansa,66
1,andina_del_valle,325
2,GREATVALUE,59
3,Hellmanns,92
4,Corona,461
5,ariel,482
6,Cote d'Or,286
7,ACUENTA,71
8,Coffee-Mate,53
9,Cachantun,97
10,CHIVAS REGAL,140
11,Virutex,56
12,Bresler,77
13,cheezels,127
14,chamyto,97
15,Lysoform,65
16,Bacardi,158
17,Carozzi,72
18,toblerone,134
19,Livean,91
20,Pepsi,113
21,cristal,305
22,Guallarauco,85
23,budweiser,464
24,Heinz Tomato Ketchup,80
25,GUINNESS,108
26,Vilay,74
27,pisco horcon quemado,50
28,Wasil,67
29,Heineken,205
30,Cusquena,63
31,Cinnabon,93
32,Eristoff,58
33,Surlat,66
34,LAVAZZA,53
35,Soprole,95
36,Cola Cao,107
37,Lipton,113
38,Brugal,121
39,Savory,100
40,Mckay,53
41,Colun,116
42,Costa Coffee,75
43,Ambrosoli,93
44,pisco porton,94
45,Valdivieso,51
46,Tika,64
47,Becker,82
48,cookie crisp,57
49,Hellmann's,98
50,chandelle,125
51,Lucchetti,61
52,Loncoleche,77
53,Bilz,148
54,coca cola,190
55,Clorox,93
56,Canada Dry,78
57,Austral,57
58,Glade,93
59,7-Up,53
60,Arcor,77
61,Coors,76
62,Milo,55
63,Vanish,53
64,Nido,66
65,Maggi,57
66,Chocapic,69
67,McDonald's,77
68,Juan Valdez Cafe,57
69,H. J. Heinz,67
70,Nescafé,95
71,nestle,167
72,COLACAO,91
73,Kunstmann,69
74,Cif,100
75,Kellogs,189
76,Eukanuba,58
77,Quillayes,52
78,Mahou,65
79,APEROL,65
